0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,2
50,2
51,2
52,2
53,2
54,3
55,3
56,3
57,3
58,3
59,4
60,4
61,4
62,5
63,5
64,6
65,6
66,6
67,7
68,7
69,8
70,9
71,10
72,10
73,11
74,12
75,13
76,14
77,16
78,17
79,19
80,20
81,21
82,23
83,25
84,27
85,28
86,30
87,33
88,36
89,38
90,41
91,45
92,48
93,51
94,55
95,58
96,62
97,66
98,71
99,77
